FilialID,Standort,Größe (qm²),Region
F001,Stadt_1,100.0,West
F002,Stadt_2,120.0,Nord
F003,Stadt_3,120.0,Ost
F004,Stadt_4,120.0,Mitte
F005,Stadt_5,150.0,Mitte
F006,Stadt_6,120.0,Unbekannt
F007,Stadt_7,120.0,Nord
F008,Stadt_8,120.0,Nord
F009,Stadt_9,150.0,Nord
F010,Stadt_10,150.0,Ost
F011,Stadt_11,150.0,West
F012,Stadt_12,120.0,Nord
F013,Stadt_13,120.0,Nord
F014,Stadt_14,150.0,Süd
F015,Stadt_15,80.0,Ost
F016,Stadt_16,120.0,Unbekannt
F017,Stadt_17,120.0,Nord
F018,Stadt_18,100.0,Süd
F019,Stadt_19,100.0,Mitte
F020,Stadt_20,120.0,Unbekannt
F021,Stadt_21,120.0,Nord
F022,Stadt_22,120.0,Nord
F023,Stadt_23,80.0,Süd
F024,Stadt_24,120.0,Ost
F025,Stadt_25,120.0,Nord
F026,Stadt_26,120.0,Mitte
F027,Stadt_27,80.0,Nord
F028,Stadt_28,120.0,Mitte
F029,Stadt_29,120.0,Unbekannt
F030,Stadt_30,120.0,Unbekannt
F031,Stadt_31,150.0,West
F032,Stadt_32,120.0,West
F033,Stadt_33,120.0,Mitte
F034,Stadt_34,120.0,Ost
F035,Stadt_35,120.0,Nord
F036,Stadt_36,80.0,Nord
F037,Stadt_37,120.0,West
F038,Stadt_38,100.0,Mitte
F039,Stadt_39,100.0,Nord
F040,Stadt_40,120.0,Nord
F041,Stadt_41,100.0,Ost
F042,Stadt_42,120.0,Süd
F043,Stadt_43,80.0,West
F044,Stadt_44,80.0,West
F045,Stadt_45,120.0,Süd
F046,Stadt_46,100.0,Nord
F047,Stadt_47,120.0,Ost
F048,Stadt_48,80.0,Ost
F049,Stadt_49,80.0,West
F050,Stadt_50,150.0,Ost
